ProductID,ProductName,Category,SubCategory,UnitPrice,CostPrice
P0092,Air Conditioner 092,Home Appliances,Air Conditioner,41737.72,32410.53
P0093,Cricket Bat 093,Sports,Cricket Bat,10189.0,5911.08
P0094,Laptop 094,Electronics,Laptop,77812.86,47690.34
P0095,Printer 095,Office Supplies,Printer,9513.49,6495.4
P0096,Tablet 096,Electronics,Tablet,22714.55,15565.72
P0097,Chair 097,Furniture,Chair,11100.34,7751.47
P0098,Microwave 098,Home Appliances,Microwave,15055.62,11767.46
P0099,Paper 099,Office Supplies,Paper,908.9,743.94
P0100,Camera 100,Electronics,Camera,36262.87,22462.27
P0101,Bed 101,Furniture,Bed,51632.3,38843.18
P0102,Running Shoes 102,Sports,Running Shoes,4149.23,2427.22
P0103,Stationery Set 103,Office Supplies,Stationery Set,585.19,454.75
P0104,Camera 104,Electronics,Camera,22437.82,18159.1
P0105,Fitness Equipment 105,Sports,Fitness Equipment,17543.79,10886.17
P0106,Football 106,Sports,Football,526.46,370.01
P0107,Laptop 107,Electronics,Laptop,72638.94,50890.24
P0108,Notebook 108,Office Supplies,Notebook,673.74,534.39
P0109,Table 109,Furniture,Table,17118.52,11998.2
P0110,Smartphone 110,Electronics,Smartphone,30098.59,20298.4
P0111,Bed 111,Furniture,Bed,32818.12,23699.05
P0112,Smartphone 112,Electronics,Smartphone,20043.19,13117.75
P0113,Monitor 113,Electronics,Monitor,26426.25,19479.69
P0114,Microwave 114,Home Appliances,Microwave,16683.02,10299.86
P0115,Fitness Equipment 115,Sports,Fitness Equipment,9526.21,7338.52
P0116,Camera 116,Electronics,Camera,41570.44,24508.05
P0117,Sofa 117,Furniture,Sofa,62915.52,50890.59
P0118,Laptop 118,Electronics,Laptop,36939.5,23012.67
P0119,Monitor 119,Electronics,Monitor,11965.18,9132.35
P0120,Laptop 120,Electronics,Laptop,57866.38,42176.37
P0121,Paper 121,Office Supplies,Paper,975.23,645.82
P0122,Printer 122,Office Supplies,Printer,17942.76,13133.8
P0123,Laptop 123,Electronics,Laptop,77212.89,61788.48
P0124,Tablet 124,Electronics,Tablet,38907.93,29071.02
P0125,Chair 125,Furniture,Chair,3155.85,2083.96
P0126,Bed 126,Furniture,Bed,41856.24,33581.85
P0127,Air Conditioner 127,Home Appliances,Air Conditioner,37425.34,27064.21
P0128,Headphones 128,Electronics,Headphones,7160.91,4568.96
P0129,Laptop 129,Electronics,Laptop,43850.97,27932.89
P0130,Air Conditioner 130,Home Appliances,Air Conditioner,58219.77,46803.43
P0131,Paper 131,Office Supplies,Paper,896.08,597.69
P0132,Notebook 132,Office Supplies,Notebook,235.21,163.03
P0133,Smartphone 133,Electronics,Smartphone,30154.78,21233.5
P0134,Sofa 134,Furniture,Sofa,34117.69,25387.96
P0135,Football 135,Sports,Football,644.55,462.91
P0136,Chair 136,Furniture,Chair,3029.54,2200.52
P0137,Chair 137,Furniture,Chair,3327.18,2091.19
P0138,Washing Machine 138,Home Appliances,Washing Machine,30903.45,21958.56
P0139,Monitor 139,Electronics,Monitor,26827.4,18117.75
P0140,Microwave 140,Home Appliances,Microwave,12142.58,7367.6
P0141,Stationery Set 141,Office Supplies,Stationery Set,1748.75,1100.65
P0142,Chair 142,Furniture,Chair,4782.08,3282.92
P0143,Air Conditioner 143,Home Appliances,Air Conditioner,56727.96,35563.32
P0144,Paper 144,Office Supplies,Paper,501.46,362.98
P0145,Notebook 145,Office Supplies,Notebook,360.46,274.8
P0146,Headphones 146,Electronics,Headphones,11482.27,8693.26
P0147,Printer 147,Office Supplies,Printer,22737.01,13458.16
P0148,Printer 148,Office Supplies,Printer,15484.78,9786.06
P0149,Running Shoes 149,Sports,Running Shoes,2427.19,1691.68
P0150,Bed 150,Furniture,Bed,53462.03,36715.83
P0151,Fitness Equipment 151,Sports,Fitness Equipment,5830.9,4665.5
P0152,Running Shoes 152,Sports,Running Shoes,5896.48,4498.55
P0153,Notebook 153,Office Supplies,Notebook,318.53,240.18
P0154,Notebook 154,Office Supplies,Notebook,693.93,462.98
P0155,Cricket Bat 155,Sports,Cricket Bat,9808.49,7104.6
P0156,Bed 156,Furniture,Bed,44665.09,34536.09
P0157,Football 157,Sports,Football,1290.11,764.14
P0158,Air Conditioner 158,Home Appliances,Air Conditioner,33125.35,22293.09
P0159,Washing Machine 159,Home Appliances,Washing Machine,54205.42,36083.24
P0160,Paper 160,Office Supplies,Paper,680.29,502.6
P0161,Bed 161,Furniture,Bed,36827.84,23163.81
P0162,Refrigerator 162,Home Appliances,Refrigerator,46811.03,27452.25
P0163,Cricket Bat 163,Sports,Cricket Bat,3768.33,3060.43
P0164,Chair 164,Furniture,Chair,8324.94,6438.05
P0165,Notebook 165,Office Supplies,Notebook,728.57,514.38
P0166,Sofa 166,Furniture,Sofa,47059.67,34982.34
P0167,Table 167,Furniture,Table,7469.0,4701.25
P0168,Headphones 168,Electronics,Headphones,1780.85,1042.33
P0169,Printer 169,Office Supplies,Printer,12339.56,8305.1
P0170,Paper 170,Office Supplies,Paper,750.66,462.97
P0171,Bed 171,Furniture,Bed,39010.06,29472.11
P0172,Smartphone 172,Electronics,Smartphone,53066.45,36105.87
P0173,Running Shoes 173,Sports,Running Shoes,4259.82,3133.66
P0174,Camera 174,Electronics,Camera,46343.47,28863.63
P0175,Stationery Set 175,Office Supplies,Stationery Set,791.76,614.23
P0176,Fitness Equipment 176,Sports,Fitness Equipment,9388.62,6512.18
P0177,Paper 177,Office Supplies,Paper,783.92,493.62
P0178,Fitness Equipment 178,Sports,Fitness Equipment,4042.35,3098.18
P0179,Monitor 179,Electronics,Monitor,12818.17,8758.44
P0180,Monitor 180,Electronics,Monitor,23838.69,16889.32
P0181,Printer 181,Office Supplies,Printer,8670.4,5624.95
P0182,Fitness Equipment 182,Sports,Fitness Equipment,15590.28,12172.38
P0183,Camera 183,Electronics,Camera,66902.29,49511.88
P0184,Tablet 184,Electronics,Tablet,20719.38,13335.4
P0185,Air Conditioner 185,Home Appliances,Air Conditioner,76508.26,54062.35
P0186,Bed 186,Furniture,Bed,36288.91,28203.52
P0187,Notebook 187,Office Supplies,Notebook,184.91,120.68
P0188,Running Shoes 188,Sports,Running Shoes,5272.37,3130.49
P0189,Air Conditioner 189,Home Appliances,Air Conditioner,38312.77,25713.12
P0190,Football 190,Sports,Football,2296.71,1653.27
P0191,Running Shoes 191,Sports,Running Shoes,8442.75,6441.23
P0192,Smartphone 192,Electronics,Smartphone,20821.66,13717.57
P0193,Chair 193,Furniture,Chair,8422.11,6102.6
P0194,Microwave 194,Home Appliances,Microwave,13118.34,8489.04
P0195,Fitness Equipment 195,Sports,Fitness Equipment,15240.21,11813.53
P0196,Paper 196,Office Supplies,Paper,385.78,231.62
P0197,Table 197,Furniture,Table,15133.72,11886.63
P0198,Stationery Set 198,Office Supplies,Stationery Set,715.13,510.57
P0199,Stationery Set 199,Office Supplies,Stationery Set,404.58,321.41
P0200,Refrigerator 200,Home Appliances,Refrigerator,37954.59,28614.99
