ReturnID,OrderID,ReturnDate,ReturnReason,ReturnStatus
RET0096,ORD06596,2025-03-01,Late Delivery,Returned
RET0097,ORD04402,2024-03-04,Quality Issue,Returned
RET0098,ORD03147,2024-08-27,Customer Changed Mind,Returned
RET0099,ORD02849,2025-07-20,Late Delivery,Returned
RET0100,ORD09022,2025-03-06,Quality Issue,Returned
RET0101,ORD06564,2024-03-02,Customer Changed Mind,Returned
RET0102,ORD05325,2024-08-06,Customer Changed Mind,Returned
RET0103,ORD00044,2025-06-23,Quality Issue,Returned
RET0104,ORD08475,2025-10-19,Late Delivery,Returned
RET0105,ORD09447,2025-08-07,Late Delivery,Returned
RET0106,ORD00535,2025-10-12,Quality Issue,Returned
RET0107,ORD03875,2025-10-02,Quality Issue,Returned
RET0108,ORD01746,2024-02-06,Damaged,Returned
RET0109,ORD06817,2024-05-15,Customer Changed Mind,Returned
RET0110,ORD00546,2024-07-30,Late Delivery,Returned
RET0111,ORD07534,2025-04-20,Wrong Product,Returned
RET0112,ORD06025,2025-03-20,Customer Changed Mind,Returned
RET0113,ORD01047,2024-05-20,Late Delivery,Returned
RET0114,ORD09514,2024-10-12,Damaged,Returned
RET0115,ORD07218,2025-11-22,Customer Changed Mind,Returned
RET0116,ORD05659,2024-01-08,Customer Changed Mind,Returned
RET0117,ORD09253,2024-05-21,Late Delivery,Returned
RET0118,ORD06978,2025-12-29,Wrong Product,Returned
RET0119,ORD08990,2025-07-02,Quality Issue,Returned
RET0120,ORD06141,2025-10-10,Wrong Product,Returned
RET0121,ORD02187,2024-04-21,Damaged,Returned
RET0122,ORD05359,2024-07-01,Customer Changed Mind,Returned
RET0123,ORD07337,2025-02-11,Late Delivery,Returned
RET0124,ORD02431,2024-09-11,Customer Changed Mind,Returned
RET0125,ORD08227,2024-10-03,Quality Issue,Returned
RET0126,ORD05324,2024-10-05,Wrong Product,Returned
RET0127,ORD04869,2024-03-22,Wrong Product,Returned
RET0128,ORD07379,2024-03-10,Damaged,Returned
RET0129,ORD08512,2024-04-05,Late Delivery,Returned
RET0130,ORD08788,2024-06-19,Quality Issue,Returned
RET0131,ORD08126,2025-10-09,Quality Issue,Returned
RET0132,ORD03832,2025-01-03,Late Delivery,Returned
RET0133,ORD09145,2024-08-20,Damaged,Returned
RET0134,ORD01288,2024-11-20,Quality Issue,Returned
RET0135,ORD03798,2025-10-11,Damaged,Returned
RET0136,ORD00460,2024-04-01,Late Delivery,Returned
RET0137,ORD01250,2025-12-16,Late Delivery,Returned
RET0138,ORD09416,2025-01-10,Late Delivery,Returned
RET0139,ORD04258,2025-05-07,Quality Issue,Returned
RET0140,ORD05594,2024-02-24,Late Delivery,Returned
RET0141,ORD04392,2024-08-31,Quality Issue,Returned
RET0142,ORD06295,2025-03-24,Damaged,Returned
RET0143,ORD00941,2025-12-29,Customer Changed Mind,Returned
RET0144,ORD08295,2024-03-28,Damaged,Returned
RET0145,ORD06579,2024-06-02,Quality Issue,Returned
RET0146,ORD07411,2025-04-30,Wrong Product,Returned
RET0147,ORD07876,2024-01-09,Wrong Product,Returned
RET0148,ORD09206,2025-02-03,Customer Changed Mind,Returned
RET0149,ORD06388,2025-09-02,Late Delivery,Returned
RET0150,ORD03412,2025-03-15,Damaged,Returned
RET0151,ORD00352,2025-01-03,Damaged,Returned
RET0152,ORD08471,2024-08-29,Quality Issue,Returned
RET0153,ORD06818,2024-03-15,Customer Changed Mind,Returned
RET0154,ORD09031,2025-09-05,Late Delivery,Returned
RET0155,ORD02839,2025-02-02,Customer Changed Mind,Returned
RET0156,ORD06360,2025-11-07,Wrong Product,Returned
RET0157,ORD04166,2025-10-09,Customer Changed Mind,Returned
RET0158,ORD01967,2025-12-20,Late Delivery,Returned
RET0159,ORD09265,2024-09-22,Late Delivery,Returned
RET0160,ORD01184,2025-08-16,Damaged,Returned
RET0161,ORD08697,2025-06-26,Damaged,Returned
RET0162,ORD02865,2025-01-09,Late Delivery,Returned
RET0163,ORD02661,2025-09-22,Damaged,Returned
RET0164,ORD03161,2025-08-15,Damaged,Returned
RET0165,ORD05514,2024-08-06,Damaged,Returned
RET0166,ORD04213,2025-08-03,Late Delivery,Returned
RET0167,ORD06854,2024-03-27,Damaged,Returned
RET0168,ORD06813,2024-06-06,Wrong Product,Returned
RET0169,ORD05533,2025-06-04,Late Delivery,Returned
RET0170,ORD08241,2025-02-14,Customer Changed Mind,Returned
RET0171,ORD02963,2024-08-12,Quality Issue,Returned
RET0172,ORD00284,2025-03-07,Quality Issue,Returned
RET0173,ORD07186,2025-11-20,Wrong Product,Returned
RET0174,ORD01913,2025-02-13,Late Delivery,Returned
RET0175,ORD03456,2024-05-26,Customer Changed Mind,Returned
RET0176,ORD02251,2024-08-28,Late Delivery,Returned
RET0177,ORD04630,2025-06-12,Customer Changed Mind,Returned
RET0178,ORD07758,2025-08-11,Customer Changed Mind,Returned
RET0179,ORD02744,2025-11-27,Late Delivery,Returned
RET0180,ORD08153,2025-05-23,Damaged,Returned
RET0181,ORD08861,2025-10-06,Quality Issue,Returned
RET0182,ORD03749,2025-11-11,Damaged,Returned
RET0183,ORD04548,2025-05-22,Quality Issue,Returned
RET0184,ORD01376,2024-12-24,Damaged,Returned
RET0185,ORD03296,2024-01-18,Late Delivery,Returned
RET0186,ORD04041,2024-10-01,Late Delivery,Returned
RET0187,ORD04929,2025-07-30,Customer Changed Mind,Returned
RET0188,ORD08371,2025-02-19,Wrong Product,Returned
RET0189,ORD09686,2024-06-20,Late Delivery,Returned
RET0190,ORD01990,2024-10-04,Quality Issue,Returned
RET0191,ORD01655,2024-02-14,Customer Changed Mind,Returned
RET0192,ORD09215,2024-06-18,Quality Issue,Returned
RET0193,ORD01103,2024-11-13,Damaged,Returned
RET0194,ORD08330,2024-05-29,Wrong Product,Returned
RET0195,ORD08852,2024-12-31,Late Delivery,Returned
RET0196,ORD09462,2024-10-15,Damaged,Returned
RET0197,ORD03588,2025-08-10,Customer Changed Mind,Returned
RET0198,ORD03306,2024-02-15,Quality Issue,Returned
RET0199,ORD03708,2025-02-03,Wrong Product,Returned
RET0200,ORD04196,2024-08-21,Late Delivery,Returned
RET0201,ORD07230,2024-11-05,Quality Issue,Returned
RET0202,ORD00107,2025-11-22,Late Delivery,Returned
RET0203,ORD04042,2025-10-07,Late Delivery,Returned
RET0204,ORD02284,2024-10-02,Quality Issue,Returned
RET0205,ORD06546,2024-01-21,Late Delivery,Returned
RET0206,ORD07046,2025-05-01,Customer Changed Mind,Returned
RET0207,ORD09450,2025-10-02,Wrong Product,Returned
RET0208,ORD06210,2024-09-10,Damaged,Returned
RET0209,ORD07093,2025-08-15,Wrong Product,Returned
RET0210,ORD00786,2024-03-19,Damaged,Returned
RET0211,ORD01112,2024-11-13,Customer Changed Mind,Returned
RET0212,ORD04230,2025-04-29,Wrong Product,Returned
RET0213,ORD01492,2024-07-26,Customer Changed Mind,Returned
RET0214,ORD06239,2025-10-28,Quality Issue,Returned
RET0215,ORD05279,2024-09-10,Damaged,Returned
RET0216,ORD03005,2024-03-21,Quality Issue,Returned
RET0217,ORD06535,2025-08-02,Quality Issue,Returned
RET0218,ORD05161,2024-12-20,Wrong Product,Returned
RET0219,ORD00667,2024-04-15,Late Delivery,Returned
RET0220,ORD03649,2025-12-30,Late Delivery,Returned
RET0221,ORD07931,2024-12-30,Customer Changed Mind,Returned
RET0222,ORD08596,2024-12-01,Wrong Product,Returned
RET0223,ORD09060,2025-01-13,Quality Issue,Returned
RET0224,ORD03294,2025-12-02,Customer Changed Mind,Returned
RET0225,ORD04502,2025-10-11,Quality Issue,Returned
RET0226,ORD08383,2025-01-03,Customer Changed Mind,Returned
RET0227,ORD04640,2024-10-18,Damaged,Returned
RET0228,ORD05478,2025-05-01,Customer Changed Mind,Returned
RET0229,ORD02643,2024-07-05,Customer Changed Mind,Returned
RET0230,ORD06081,2025-10-31,Quality Issue,Returned
RET0231,ORD03909,2025-05-26,Late Delivery,Returned
RET0232,ORD06280,2024-06-09,Quality Issue,Returned
RET0233,ORD08574,2025-11-22,Wrong Product,Returned
RET0234,ORD07894,2024-03-04,Quality Issue,Returned
RET0235,ORD06524,2024-04-30,Late Delivery,Returned
RET0236,ORD09691,2025-04-22,Wrong Product,Returned
RET0237,ORD03668,2025-12-31,Late Delivery,Returned
RET0238,ORD05807,2025-01-15,Wrong Product,Returned
RET0239,ORD05943,2024-02-16,Quality Issue,Returned
RET0240,ORD00972,2025-10-07,Late Delivery,Returned
RET0241,ORD06983,2024-05-11,Late Delivery,Returned
RET0242,ORD01618,2024-07-03,Damaged,Returned
RET0243,ORD05929,2024-12-31,Damaged,Returned
RET0244,ORD07234,2024-08-20,Customer Changed Mind,Returned
RET0245,ORD09015,2025-04-16,Damaged,Returned
RET0246,ORD04146,2025-09-22,Late Delivery,Returned
RET0247,ORD09311,2025-03-09,Customer Changed Mind,Returned
RET0248,ORD00789,2024-01-20,Quality Issue,Returned
RET0249,ORD05819,2025-02-19,Customer Changed Mind,Returned
RET0250,ORD05282,2025-11-25,Wrong Product,Returned
RET0251,ORD07592,2025-02-08,Customer Changed Mind,Returned
RET0252,ORD07716,2025-09-26,Damaged,Returned
RET0253,ORD05976,2024-07-18,Quality Issue,Returned
RET0254,ORD03218,2024-01-19,Wrong Product,Returned
RET0255,ORD09606,2024-01-09,Customer Changed Mind,Returned
RET0256,ORD06055,2025-07-25,Quality Issue,Returned
RET0257,ORD09676,2024-08-07,Damaged,Returned
RET0258,ORD08569,2025-09-27,Quality Issue,Returned
RET0259,ORD02244,2024-07-20,Quality Issue,Returned
RET0260,ORD07794,2024-01-22,Wrong Product,Returned
RET0261,ORD01285,2024-12-17,Late Delivery,Returned
RET0262,ORD02536,2024-01-11,Damaged,Returned
RET0263,ORD05346,2025-08-28,Wrong Product,Returned
RET0264,ORD07364,2024-06-18,Wrong Product,Returned
RET0265,ORD04503,2025-04-11,Wrong Product,Returned
RET0266,ORD08616,2024-04-20,Late Delivery,Returned
RET0267,ORD09310,2025-09-06,Late Delivery,Returned
RET0268,ORD06602,2024-09-05,Customer Changed Mind,Returned
RET0269,ORD05601,2024-01-25,Customer Changed Mind,Returned
RET0270,ORD04626,2024-12-27,Damaged,Returned
RET0271,ORD06302,2025-09-12,Damaged,Returned
RET0272,ORD09110,2024-09-11,Late Delivery,Returned
RET0273,ORD09172,2025-06-09,Late Delivery,Returned
RET0274,ORD06150,2024-05-10,Late Delivery,Returned
RET0275,ORD08964,2025-06-30,Wrong Product,Returned
RET0276,ORD07216,2024-09-01,Late Delivery,Returned
RET0277,ORD00025,2024-12-02,Wrong Product,Returned
RET0278,ORD06492,2025-10-24,Wrong Product,Returned
RET0279,ORD06623,2025-06-27,Damaged,Returned
RET0280,ORD02313,2025-05-22,Quality Issue,Returned
RET0281,ORD02331,2025-11-07,Customer Changed Mind,Returned
RET0282,ORD02311,2025-07-22,Customer Changed Mind,Returned
RET0283,ORD06226,2024-12-18,Damaged,Returned
RET0284,ORD00375,2025-01-06,Damaged,Returned
RET0285,ORD09436,2024-09-29,Late Delivery,Returned
RET0286,ORD03702,2024-11-25,Late Delivery,Returned
RET0287,ORD02531,2024-10-11,Late Delivery,Returned
RET0288,ORD06249,2025-02-17,Wrong Product,Returned
RET0289,ORD09507,2024-03-08,Wrong Product,Returned
RET0290,ORD06574,2024-12-13,Late Delivery,Returned
RET0291,ORD09421,2025-04-25,Wrong Product,Returned
RET0292,ORD03729,2024-09-04,Damaged,Returned
RET0293,ORD09671,2024-07-31,Late Delivery,Returned
RET0294,ORD00461,2024-12-28,Customer Changed Mind,Returned
RET0295,ORD02924,2025-10-25,Customer Changed Mind,Returned
RET0296,ORD05563,2025-06-14,Wrong Product,Returned
RET0297,ORD04404,2024-11-02,Customer Changed Mind,Returned
RET0298,ORD05138,2025-01-21,Late Delivery,Returned
RET0299,ORD04250,2024-11-21,Customer Changed Mind,Returned
RET0300,ORD07775,2025-09-18,Damaged,Returned
RET0301,ORD07452,2025-12-23,Wrong Product,Returned
RET0302,ORD09516,2024-09-05,Customer Changed Mind,Returned
RET0303,ORD06006,2024-02-23,Wrong Product,Returned
RET0304,ORD02636,2025-03-27,Damaged,Returned
RET0305,ORD00886,2024-10-18,Customer Changed Mind,Returned
RET0306,ORD03750,2024-10-14,Late Delivery,Returned
RET0307,ORD02261,2025-08-22,Quality Issue,Returned
RET0308,ORD01467,2025-09-11,Customer Changed Mind,Returned
RET0309,ORD01320,2025-11-17,Damaged,Returned
RET0310,ORD07665,2025-10-25,Quality Issue,Returned
RET0311,ORD01270,2025-03-22,Customer Changed Mind,Returned
RET0312,ORD02689,2024-05-20,Wrong Product,Returned
RET0313,ORD00142,2025-05-06,Damaged,Returned
RET0314,ORD06098,2024-01-29,Customer Changed Mind,Returned
RET0315,ORD05823,2024-05-23,Damaged,Returned
RET0316,ORD09622,2024-12-05,Late Delivery,Returned
RET0317,ORD05971,2025-05-05,Quality Issue,Returned
RET0318,ORD03497,2025-10-28,Quality Issue,Returned
RET0319,ORD08626,2024-04-14,Late Delivery,Returned
RET0320,ORD04314,2025-06-14,Quality Issue,Returned
RET0321,ORD01511,2024-02-12,Quality Issue,Returned
RET0322,ORD07013,2025-10-14,Late Delivery,Returned
RET0323,ORD02428,2025-05-27,Wrong Product,Returned
RET0324,ORD02015,2024-12-13,Quality Issue,Returned
RET0325,ORD06688,2025-04-24,Wrong Product,Returned
RET0326,ORD03894,2024-07-23,Damaged,Returned
RET0327,ORD02097,2024-07-19,Damaged,Returned
RET0328,ORD03126,2024-06-28,Quality Issue,Returned
RET0329,ORD02667,2024-11-28,Damaged,Returned
RET0330,ORD00542,2024-10-21,Late Delivery,Returned
RET0331,ORD01556,2024-03-03,Quality Issue,Returned
RET0332,ORD09893,2024-06-04,Late Delivery,Returned
RET0333,ORD04486,2024-09-17,Wrong Product,Returned
RET0334,ORD08155,2024-11-21,Customer Changed Mind,Returned
RET0335,ORD07986,2024-03-01,Customer Changed Mind,Returned
RET0336,ORD07559,2024-02-22,Quality Issue,Returned
RET0337,ORD00343,2025-08-28,Late Delivery,Returned
RET0338,ORD07368,2024-09-02,Customer Changed Mind,Returned
RET0339,ORD07185,2025-10-29,Quality Issue,Returned
RET0340,ORD08829,2025-10-29,Customer Changed Mind,Returned
RET0341,ORD09787,2025-07-31,Customer Changed Mind,Returned
RET0342,ORD09449,2024-07-12,Damaged,Returned
RET0343,ORD02587,2025-02-07,Quality Issue,Returned
RET0344,ORD01965,2024-02-20,Customer Changed Mind,Returned
RET0345,ORD07372,2025-08-15,Quality Issue,Returned
RET0346,ORD08108,2025-06-17,Damaged,Returned
RET0347,ORD04394,2025-07-05,Quality Issue,Returned
RET0348,ORD03608,2024-06-01,Damaged,Returned
RET0349,ORD05280,2024-07-25,Customer Changed Mind,Returned
RET0350,ORD00981,2025-06-22,Customer Changed Mind,Returned
RET0351,ORD00212,2025-05-10,Customer Changed Mind,Returned
RET0352,ORD06378,2024-10-10,Damaged,Returned
RET0353,ORD04647,2024-09-03,Wrong Product,Returned
RET0354,ORD06067,2024-10-30,Damaged,Returned
RET0355,ORD07693,2024-01-27,Damaged,Returned
RET0356,ORD02682,2025-07-11,Late Delivery,Returned
RET0357,ORD02074,2025-04-16,Customer Changed Mind,Returned
RET0358,ORD00903,2024-07-03,Customer Changed Mind,Returned
RET0359,ORD07891,2025-01-10,Late Delivery,Returned
RET0360,ORD04092,2025-11-06,Wrong Product,Returned
RET0361,ORD03139,2024-12-02,Quality Issue,Returned
RET0362,ORD05648,2024-08-22,Customer Changed Mind,Returned
RET0363,ORD00966,2024-08-15,Customer Changed Mind,Returned
RET0364,ORD00291,2025-01-30,Damaged,Returned
RET0365,ORD04962,2024-11-25,Wrong Product,Returned
RET0366,ORD07899,2024-09-15,Wrong Product,Returned
RET0367,ORD08123,2024-01-09,Wrong Product,Returned
RET0368,ORD09147,2025-10-13,Wrong Product,Returned
RET0369,ORD06918,2025-09-02,Late Delivery,Returned
RET0370,ORD06357,2024-05-05,Damaged,Returned
RET0371,ORD01060,2024-05-19,Late Delivery,Returned
RET0372,ORD05867,2024-01-02,Late Delivery,Returned
RET0373,ORD03277,2024-04-06,Quality Issue,Returned
RET0374,ORD04882,2024-07-09,Damaged,Returned
RET0375,ORD05553,2024-01-23,Wrong Product,Returned
RET0376,ORD07627,2025-05-02,Damaged,Returned
RET0377,ORD06000,2024-09-12,Wrong Product,Returned
RET0378,ORD05447,2025-07-26,Quality Issue,Returned
RET0379,ORD09752,2025-04-10,Customer Changed Mind,Returned
RET0380,ORD06190,2024-12-21,Late Delivery,Returned
RET0381,ORD07300,2024-08-12,Quality Issue,Returned
RET0382,ORD08622,2025-05-30,Late Delivery,Returned
RET0383,ORD02463,2024-10-27,Wrong Product,Returned
RET0384,ORD09801,2024-06-01,Wrong Product,Returned
RET0385,ORD08734,2024-08-16,Quality Issue,Returned
RET0386,ORD09404,2024-04-02,Customer Changed Mind,Returned
RET0387,ORD01298,2025-06-11,Customer Changed Mind,Returned
RET0388,ORD01039,2024-03-26,Late Delivery,Returned
RET0389,ORD03715,2024-11-13,Wrong Product,Returned
RET0390,ORD00323,2024-10-02,Wrong Product,Returned
RET0391,ORD02903,2024-04-02,Customer Changed Mind,Returned
RET0392,ORD06089,2025-06-07,Wrong Product,Returned
RET0393,ORD04968,2025-03-10,Wrong Product,Returned
RET0394,ORD09365,2025-03-12,Quality Issue,Returned
RET0395,ORD07771,2024-04-28,Customer Changed Mind,Returned
RET0396,ORD07841,2024-03-23,Customer Changed Mind,Returned
RET0397,ORD08880,2024-07-15,Damaged,Returned
RET0398,ORD03095,2024-11-29,Customer Changed Mind,Returned
RET0399,ORD09186,2024-06-10,Customer Changed Mind,Returned
RET0400,ORD07122,2024-03-28,Damaged,Returned
RET0401,ORD00139,2025-04-08,Wrong Product,Returned
RET0402,ORD03094,2024-05-04,Wrong Product,Returned
RET0403,ORD08236,2024-07-29,Late Delivery,Returned
RET0404,ORD00803,2025-02-16,Wrong Product,Returned
RET0405,ORD01778,2024-02-27,Customer Changed Mind,Returned
RET0406,ORD03010,2025-10-13,Late Delivery,Returned
RET0407,ORD01180,2025-07-08,Late Delivery,Returned
RET0408,ORD03224,2024-12-10,Wrong Product,Returned
RET0409,ORD08246,2024-08-21,Late Delivery,Returned
RET0410,ORD01808,2024-03-14,Damaged,Returned
RET0411,ORD06354,2024-02-16,Late Delivery,Returned
RET0412,ORD07977,2024-05-10,Quality Issue,Returned
RET0413,ORD04519,2025-08-18,Damaged,Returned
RET0414,ORD02041,2025-04-27,Customer Changed Mind,Returned
RET0415,ORD01627,2024-10-08,Wrong Product,Returned
RET0416,ORD06051,2024-11-12,Wrong Product,Returned
RET0417,ORD03346,2025-03-21,Quality Issue,Returned
RET0418,ORD05757,2024-09-01,Wrong Product,Returned
RET0419,ORD00128,2024-06-17,Customer Changed Mind,Returned
RET0420,ORD04683,2025-11-20,Late Delivery,Returned
RET0421,ORD01539,2025-05-16,Wrong Product,Returned
RET0422,ORD02604,2025-06-30,Customer Changed Mind,Returned
RET0423,ORD03239,2025-04-04,Damaged,Returned
RET0424,ORD05978,2025-06-15,Customer Changed Mind,Returned
RET0425,ORD00690,2024-08-31,Quality Issue,Returned
RET0426,ORD03975,2024-06-21,Customer Changed Mind,Returned
RET0427,ORD01572,2024-05-23,Wrong Product,Returned
RET0428,ORD02392,2025-07-22,Late Delivery,Returned
RET0429,ORD06592,2024-12-28,Customer Changed Mind,Returned
RET0430,ORD04316,2024-08-16,Quality Issue,Returned
RET0431,ORD03446,2024-10-20,Damaged,Returned
RET0432,ORD09013,2024-06-28,Quality Issue,Returned
RET0433,ORD02627,2024-08-04,Damaged,Returned
RET0434,ORD00485,2024-10-28,Customer Changed Mind,Returned
RET0435,ORD06962,2024-05-18,Late Delivery,Returned
RET0436,ORD00814,2025-07-21,Quality Issue,Returned
RET0437,ORD05040,2024-09-03,Late Delivery,Returned
RET0438,ORD09402,2025-03-03,Customer Changed Mind,Returned
RET0439,ORD01241,2024-06-22,Late Delivery,Returned
RET0440,ORD03392,2025-03-15,Late Delivery,Returned
RET0441,ORD09918,2025-06-30,Quality Issue,Returned
RET0442,ORD08963,2024-07-02,Customer Changed Mind,Returned
RET0443,ORD06684,2024-08-01,Late Delivery,Returned
RET0444,ORD06425,2024-11-25,Damaged,Returned
RET0445,ORD00544,2025-10-30,Wrong Product,Returned
RET0446,ORD01924,2025-11-15,Damaged,Returned
RET0447,ORD04310,2025-07-28,Late Delivery,Returned
RET0448,ORD03104,2024-07-24,Customer Changed Mind,Returned
RET0449,ORD02217,2025-02-20,Damaged,Returned
RET0450,ORD06968,2025-05-15,Customer Changed Mind,Returned
RET0451,ORD00203,2025-09-15,Damaged,Returned
RET0452,ORD04096,2025-08-21,Customer Changed Mind,Returned
RET0453,ORD03444,2024-01-19,Late Delivery,Returned
RET0454,ORD01968,2025-10-22,Quality Issue,Returned
RET0455,ORD03931,2025-10-07,Damaged,Returned
RET0456,ORD04771,2024-05-25,Customer Changed Mind,Returned
RET0457,ORD00938,2025-12-27,Damaged,Returned
RET0458,ORD02548,2024-05-06,Customer Changed Mind,Returned
RET0459,ORD06445,2025-11-11,Customer Changed Mind,Returned
RET0460,ORD00067,2025-12-31,Quality Issue,Returned
RET0461,ORD00309,2024-04-23,Customer Changed Mind,Returned
RET0462,ORD01927,2025-03-18,Damaged,Returned
RET0463,ORD06680,2025-12-22,Late Delivery,Returned
RET0464,ORD00946,2025-10-27,Wrong Product,Returned
RET0465,ORD04956,2025-02-24,Customer Changed Mind,Returned
RET0466,ORD05327,2024-11-02,Wrong Product,Returned
RET0467,ORD01327,2024-12-18,Late Delivery,Returned
RET0468,ORD00263,2024-11-29,Wrong Product,Returned
RET0469,ORD09531,2024-01-10,Customer Changed Mind,Returned
RET0470,ORD08588,2025-01-02,Damaged,Returned
RET0471,ORD02063,2025-01-06,Quality Issue,Returned
RET0472,ORD00543,2025-04-02,Customer Changed Mind,Returned
RET0473,ORD07862,2024-02-17,Customer Changed Mind,Returned
RET0474,ORD06766,2025-12-31,Quality Issue,Returned
RET0475,ORD00408,2025-12-25,Quality Issue,Returned
